asset_id,filename_or_version,creator_or_source,source_reference,asset_type,ownership_or_license,permitted_media,ai_tool_model_and_date,prompt_or_reference_inputs,material_edits,synthetic_disclosure,restrictions,approval_status,checksum
ast-engagement-quiet,public/engagement-quiet-moment.webp,User-provided engagement photograph,IMG_1969(1).JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,a7c42bff011a8a6fc077adb7fb0c9ab3c18696fa236e258b4ef2ea21fe7d27d1
ast-engagement-joy,public/engagement-joy.webp,User-provided engagement photograph,IMG_2014(1).JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,c58341eb14b39fffd138cdc1b58a5aa48be4c492578184e854e373657d1e6d40
ast-engagement-together,public/engagement-together.webp,User-provided engagement photograph,IMG_2044(1).JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,756426ebdb946337dbf7e5a82f1f42ae40aeb7575297a5a5a506d2075edc22d6
ast-engagement-radiance,public/engagement-radiance.webp,User-provided engagement photograph,IMG_2107(1).JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,289470f826fba46292c1c3a6e4a9dc080d90aa822e4c4186fc2c83f4f47f7ad6
ast-engagement-couple,public/engagement-couple.webp,User-provided engagement photograph,IMG_2117(1).JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,74d1f2bd6897ffd537020a3d22baa8c38bbf48ebc51c9759c254efcab0d6827f
ast-engagement-celebration,public/engagement-celebration.webp,User-provided engagement photograph,IMG_2188(1).JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,c3f6292c0d9a8a53367122394a1709aac0e391f7b72f26ffc5a94345a3e388af
ast-font-display-regular,public/fonts/kp-display-regular.otf,URW Software via Debian fonts-urw-base35,fonts-urw-base35 20200910-8 P052-Roman.otf,font,"AGPL-3 with font exception",wedding website,n/a,Unmodified URW Base35 font,"copied locally and renamed only",not applicable,"retain applicable AGPL-3 license, source and notice obligations",approved,f054a7389d8d0e9f4c5f7b4c21feb7e2b14bec8004a1e92778a78d149524eea9
ast-font-display-italic,public/fonts/kp-display-italic.otf,URW Software via Debian fonts-urw-base35,fonts-urw-base35 20200910-8 P052-Italic.otf,font,"AGPL-3 with font exception",wedding website,n/a,Unmodified URW Base35 font,"copied locally and renamed only",not applicable,"retain applicable AGPL-3 license, source and notice obligations",approved,1feac6055211cf5c6c812c026e398195070f174064cc4d390f0db01647443b0e
ast-font-sans-regular,public/fonts/kp-sans-regular.otf,URW Software via Debian fonts-urw-base35,fonts-urw-base35 20200910-8 NimbusSans-Regular.otf,font,"AGPL-3 with font exception",wedding website,n/a,Unmodified URW Base35 font,"copied locally and renamed only",not applicable,"retain applicable AGPL-3 license, source and notice obligations",approved,7c25be4d78155523080ab85b10277150657ff7dabbcad7037bdd536c9b6d0d08
ast-font-sans-bold,public/fonts/kp-sans-bold.otf,URW Software via Debian fonts-urw-base35,fonts-urw-base35 20200910-8 NimbusSans-Bold.otf,font,"AGPL-3 with font exception",wedding website,n/a,Unmodified URW Base35 font,"copied locally and renamed only",not applicable,"retain applicable AGPL-3 license, source and notice obligations",approved,7f33328e6b4d4cd21b45fa625791928c9407dc702db6780e56b09ca9a3ecaa67
